stepsToClean,cleanPercentage,totalMovements,maxTimeReached,totalSteps,numAgents,repetition,movementsPerAgent
,98.0,831,True,1000,1,0,831.0
,98.0,786,True,1000,1,1,786.0
664.0,100.0,802,True,1000,1,2,802.0
,99.0,814,True,1000,1,3,814.0
676.0,100.0,786,True,1000,1,4,786.0
834.0,100.0,818,True,1000,1,5,818.0
624.0,100.0,804,True,1000,1,6,804.0
922.0,100.0,812,True,1000,1,7,812.0
,98.0,825,True,1000,1,8,825.0
,99.0,804,True,1000,1,9,804.0
424.0,100.0,1652,True,1000,2,0,826.0
667.0,100.0,1623,True,1000,2,1,811.5
,99.0,1668,True,1000,2,2,834.0
592.0,100.0,1601,True,1000,2,3,800.5
436.0,100.0,1669,True,1000,2,4,834.5
424.0,100.0,1695,True,1000,2,5,847.5
470.0,100.0,1702,True,1000,2,6,851.0
,99.0,1671,True,1000,2,7,835.5
941.0,100.0,1669,True,1000,2,8,834.5
338.0,100.0,1635,True,1000,2,9,817.5
218.0,100.0,2491,True,1000,3,0,830.3333333333334
380.0,100.0,2529,True,1000,3,1,843.0
311.0,100.0,2540,True,1000,3,2,846.6666666666666
396.0,100.0,2519,True,1000,3,3,839.6666666666666
419.0,100.0,2448,True,1000,3,4,816.0
265.0,100.0,2475,True,1000,3,5,825.0
621.0,100.0,2497,True,1000,3,6,832.3333333333334
310.0,100.0,2544,True,1000,3,7,848.0
440.0,100.0,2524,True,1000,3,8,841.3333333333334
523.0,100.0,2552,True,1000,3,9,850.6666666666666
341.0,100.0,4235,True,1000,5,0,847.0
264.0,100.0,4267,True,1000,5,1,853.4
165.0,100.0,4207,True,1000,5,2,841.4
375.0,100.0,4284,True,1000,5,3,856.8
293.0,100.0,4218,True,1000,5,4,843.6
135.0,100.0,4249,True,1000,5,5,849.8
333.0,100.0,4200,True,1000,5,6,840.0
221.0,100.0,4209,True,1000,5,7,841.8
219.0,100.0,4235,True,1000,5,8,847.0
128.0,100.0,4225,True,1000,5,9,845.0
127.0,100.0,8446,True,1000,10,0,844.6
150.0,100.0,8505,True,1000,10,1,850.5
85.0,100.0,8531,True,1000,10,2,853.1
86.0,100.0,8281,True,1000,10,3,828.1
191.0,100.0,8447,True,1000,10,4,844.7
74.0,100.0,8446,True,1000,10,5,844.6
173.0,100.0,8564,True,1000,10,6,856.4
278.0,100.0,8536,True,1000,10,7,853.6
133.0,100.0,8488,True,1000,10,8,848.8
84.0,100.0,8456,True,1000,10,9,845.6
84.0,100.0,12851,True,1000,15,0,856.7333333333333
80.0,100.0,12651,True,1000,15,1,843.4
181.0,100.0,12803,True,1000,15,2,853.5333333333333
78.0,100.0,12920,True,1000,15,3,861.3333333333334
122.0,100.0,12776,True,1000,15,4,851.7333333333333
70.0,100.0,12722,True,1000,15,5,848.1333333333333
87.0,100.0,12799,True,1000,15,6,853.2666666666667
125.0,100.0,12724,True,1000,15,7,848.2666666666667
77.0,100.0,12745,True,1000,15,8,849.6666666666666
128.0,100.0,12817,True,1000,15,9,854.4666666666667
67.0,100.0,16959,True,1000,20,0,847.95
159.0,100.0,16912,True,1000,20,1,845.6
125.0,100.0,17121,True,1000,20,2,856.05
87.0,100.0,17068,True,1000,20,3,853.4
61.0,100.0,16944,True,1000,20,4,847.2
73.0,100.0,17030,True,1000,20,5,851.5
86.0,100.0,16941,True,1000,20,6,847.05
58.0,100.0,17159,True,1000,20,7,857.95
86.0,100.0,17229,True,1000,20,8,861.45
93.0,100.0,17025,True,1000,20,9,851.25
